Institute,Ranking,Location,Short Description,Long Description,Application deadline (master's),Application deadline (PhD),Application fee (U.S. residents),Application fee (international students),Admissions phone,Admissions email,Application URL,Website,,Full-time faculty (tenured or tenure-track),Ph.D. student/faculty ratio,Female,Male,"Tuition (master's, full-time)","Tuition (master's, part-time)","Tuition (doctoral, full-time)","Tuition (doctoral, part-time)"
Marquette University (Opus),140," Milwaukee, WI","The OPUS College of Engineering at Marquette University (Opus) has a rolling application deadline. The application fee is $50 for U.S. residents and $50 for international students. Its tuition is full-time: $1,205 per credit and part-time: $1,205 per credit. The 2021 Ph.D. student-faculty ratio is 1.5:1. The OPUS College of Engineering at Marquette University (Opus) has 59 full-time faculty on staff.",,N/A,N/A,$ 50.00,$ 50.00,(414) 288-7137,mugs@mu.edu,http://www.grad.marquette.edu,http://www.grad.marquette.edu,"$1,205 per credit",59,1.5:1,25.6,74.4,"$1,205 per credit","$1,205 per credit","$1,205 per credit","$1,205 per credit"
CUNY--City College (Grove),140," New York, NY","The Grove School of Engineering at CUNY--City College (Grove) has a rolling application deadline. The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $12,970 per year (in-state); full-time: $17,010 per year (out-of-state); part-time: $550 per credit (in-state); and part-time: $945 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.4:1. The Grove School of Engineering at CUNY--City College (Grove) has 105 full-time faculty on staff.",,05/01,05/01,$ 75.00,$ 75.00,(212) 650-6977,graduateadmissions@ccny.cuny.edu,https://app.applyyourself.com/AYApplicantLogin/fl_ApplicantConnectLogin.asp?id=CUNYCCNYG,https://www.ccny.cuny.edu/admissions/graduate-studies,1.4:1,105,1.4:1,36,64,,,,
University of Vermont,146," Burlington, VT","The application fee is $65 for U.S. residents and $65 for international students. Its tuition is full-time: $683 per credit (in-state); full-time: $1,720 per credit (out-of-state); part-time: $683 per credit (in-state); and part-time: $1,720 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.3:1. The College of Engineering and Mathematics Sciences at University of Vermont has 36 full-time faculty on staff.",,N/A,N/A,$ 65.00,$ 65.00,(802) 656-2699,graduate.admissions@uvm.edu,https://www.applyweb.com/uvmg/menu.html,http://www.cems.uvm.edu,2.3:1,36,2.3:1,23.5,76.5,,,,
University of Tulsa,146," Tulsa, OK","The College of Engineering and Natural Sciences at University of Tulsa has a rolling application deadline. The application fee is $60 for U.S. residents and $60 for international students. Its tuition is full-time: $1,349 per credit and part-time: $1,349 per credit. The 2021 Ph.D. student-faculty ratio is 2.2:1. The College of Engineering and Natural Sciences at University of Tulsa has 46 full-time faculty on staff.",,02/01,02/01,$ 60.00,$ 60.00,(918) 631-3744,grad@utulsa.edu,http://graduate.utulsa.edu/admission,https://engineering.utulsa.edu/,"$1,349 per credit",46,2.2:1,14.1,85.9,"$1,349 per credit","$1,349 per credit","$1,349 per credit","$1,349 per credit"
University of Denver (Ritchie),146," Denver, CO",The Daniel Felix Ritchie School of Engineering and Computer Science at University of Denver (Ritchie) has a rolling application deadline. The application fee is $65 for U.S. residents and $65 for international students. The 2021 Ph.D. student-faculty ratio is 3.4:1. The Daniel Felix Ritchie School of Engineering and Computer Science at University of Denver (Ritchie) has 20 full-time faculty on staff.,,08/15,08/15,$ 65.00,$ 65.00,(303) 871-2427,ashley.sherman@du.edu,https://gradadmissions.du.edu/apply/,http://ritchieschool.du.edu/,N/A,20,3.4:1,29.1,70.9,N/A,N/A,N/A,N/A
North Carolina A&T State University,146," Greensboro, NC","The College of Engineering at North Carolina A&T State University has a rolling application deadline. The application fee is $60 for U.S. residents and $60 for international students. Its tuition is full-time: $4,745 per year (in-state); full-time: $17,545 per year (out-of-state); part-time: $3,559 per year (in-state); and part-time: $13,159 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.2:1. The College of Engineering at North Carolina A&T State University has 73 full-time faculty on staff.",,N/A,N/A,$ 60.00,$ 60.00,(336) 285-2373,grad@ncat.edu,https://www.ncat.edu/academics/graduate-programs/index.php,https://www.ncat.edu/admissions/graduate/index.php,1.2:1,73,1.2:1,35.8,64.2,,,,
New Mexico Institute of Mining and Technology,146," Socorro, NM","The Graduate School at New Mexico Institute of Mining and Technology has a rolling application deadline. The application fee is $65 for U.S. residents and $65 for international students. Its tuition is full-time: $7,344 per year (in-state); full-time: $24,292 per year (out-of-state); part-time: $4,896 per year (in-state); and part-time: $4,896 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 0.7:1. The Graduate School at New Mexico Institute of Mining and Technology has 55 full-time faculty on staff.",,01/15,01/15,$ 65.00,$ 65.00,(575) 835-5513,graduate@nmt.edu,http://nmt.edu/gradstudies/index.php,http://www.nmt.edu,0.7:1,55,0.7:1,26.3,73.7,,,,
University of Colorado--Colorado Springs,152-200," Colorado Springs, CO","The College of Engineering and Applied Science at University of Colorado--Colorado Springs has a rolling application deadline. The application fee is $60 for U.S. residents and $100 for international students. Its tuition is full-time: $746 per credit (in-state); full-time: $1,314 per credit (out-of-state); part-time: $767 per credit (in-state); and part-time: $1,335 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 0.3:1. The College of Engineering and Applied Science at University of Colorado--Colorado Springs has 37 full-time faculty on staff.",,05/01,01/01,$ 60.00,$ 100.00,(719) 255-3088,gradinfo@uccs.edu,https://www.uccs.edu/admissionsenrollment/apply-graduate-student,https://www.uccs.edu/,0.3:1,37,0.3:1,15.4,84.6,,,,
University of Arkansas--Little Rock (Donaghey),152-200," Little Rock, AR","The Donaghey College of Science, Technology, Engineering, and Mathematics at University of Arkansas--Little Rock (Donaghey) has a rolling application deadline. The application fee is $40 for U.S. residents and $40 for international students. Its tuition is full-time: $345 per credit (in-state); full-time: $740 per credit (out-of-state); part-time: $345 per credit (in-state); and part-time: $740 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 3.5:1. The Donaghey College of Science, Technology, Engineering, and Mathematics at University of Arkansas--Little Rock (Donaghey) has 23 full-time faculty on staff.",,04/15,04/15,$ 40.00,$ 40.00,(501) 916-6213,gradschool@ualr.edu,https://ualr.edu/gradschool/graduate-application/,https://ualr.edu/gradschool/,3.5:1,23,3.5:1,29.4,70.6,,,,
University of Alaska--Fairbanks,152-200," Fairbanks, AK","The College of Engineering and Mines at University of Alaska--Fairbanks has a rolling application deadline. The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $11,642 per year (in-state); full-time: $21,830 per year (out-of-state); part-time: $7,762 per year (in-state); and part-time: $14,554 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 0.2:1. The College of Engineering and Mines at University of Alaska--Fairbanks has 33 full-time faculty on staff.",,06/01,06/01,$ 75.00,$ 75.00,(800) 478-1823,uaf-admissions@alaska.edu,http://www.uaf.edu/admissions/apply,http://www.cem.uaf.edu,0.2:1,33,0.2:1,33.3,66.7,,,,
University of Alabama--Birmingham,152-200," Birmingham, AL","The School of Engineering at University of Alabama--Birmingham has a rolling application deadline. The application fee is $50 for U.S. residents and $60 for international students. Its tuition is full-time: $450 per credit (in-state); full-time: $1,066 per credit (out-of-state); part-time: $450 per credit (in-state); and part-time: $1,066 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.2:1. The School of Engineering at University of Alabama--Birmingham has 37 full-time faculty on staff.",,08/01,08/01,$ 50.00,$ 60.00,(205) 934-8227,gradschool@uab.edu,http://www.uab.edu/graduate,https://www.uab.edu/engineering/home/,2.2:1,37,2.2:1,26.1,73.9,,,,
University of Akron,152-200," Akron, OH","The College of Engineering & Polymer Science at University of Akron has a rolling application deadline. The application fee is $45 for U.S. residents and $70 for international students. Its tuition is full-time: $10,610 per year (in-state); full-time: $17,952 per year (out-of-state); part-time: $442 per credit (in-state); and part-time: $748 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.8:1. The College of Engineering & Polymer Science at University of Akron has 80 full-time faculty on staff.",,N/A,N/A,$ 45.00,$ 70.00,(330) 972-2135,gradsch@uakron.edu,http://www.uakron.edu/gradsch/apply-online/,http://www.uakron.edu/gradsch/,2.8:1,80,2.8:1,22,78,,,,
The Catholic University of America,152-200," Washington, DC","The School of Engineering at The Catholic University of America has a rolling application deadline. The application fee is $60 for U.S. residents and $60 for international students. Its tuition is full-time: $51,260 per year and part-time: $2,015 per credit. The 2021 Ph.D. student-faculty ratio is 3.1:1. The School of Engineering at The Catholic University of America has 26 full-time faculty on staff.",,08/01,08/01,$ 60.00,$ 60.00,(202) 319-5247,cua-graduatestudies@cua.edu,https://engineering.catholic.edu/admission/graduate-doctorate/index.html,https://engineering.catholic.edu/,"$2,015 per credit",26,3.1:1,29.3,67.2,"$51,260 per year","$2,015 per credit","$51,260 per year","$2,015 per credit"
Texas A&M University--Kingsville (Dotterweich),152-200," Kingsville, TX","The application fee is $35 for U.S. residents and $50 for international students. Its tuition is full-time: $3,408 per year (in-state); full-time: $10,752 per year (out-of-state); part-time: $519 per credit (in-state); and part-time: $1,195 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 0.3:1. The Frank H. Dotterweich College of Engineering at Texas A&M University--Kingsville (Dotterweich) has 51 full-time faculty on staff.",,N/A,N/A,$ 35.00,$ 50.00,(361) 593-5372,graduateadmissions@tamuk.edu,https://www.applytexas.org/adappc/gen/c_start.WBX,https://www.tamuk.edu/grad/admissions/index.html,0.3:1,51,0.3:1,27.3,72.7,,,,
Tennessee Technological University,152-200," Cookeville, TN",The College of Engineering at Tennessee Technological University has a rolling application deadline. The application fee is $35 for U.S. residents and $40 for international students. Its tuition is full-time: $524 per credit (in-state); full-time: $726 per credit (out-of-state); part-time: $524 per credit (in-state); and part-time: $726 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.3:1. The College of Engineering at Tennessee Technological University has 76 full-time faculty on staff.,,07/01,07/01,$ 35.00,$ 40.00,(931) 372-3808,gradstudies@tntech.edu,http://www.tntech.edu/graduate studies,http://www.tntech.edu/engineering,1.3:1,76,1.3:1,23.7,76.3,,,,
Tennessee State University,152-200," Nashville, TN","The application fee is $35 for U.S. residents and $35 for international students. Its tuition is full-time: $9,524 per year (in-state); full-time: $21,628 per year (out-of-state); part-time: $458 per credit (in-state); and part-time: $1,040 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 0.5:1. The College of Engineering at Tennessee State University has 22 full-time faculty on staff.",,07/01,07/01,$ 35.00,$ 35.00,(615) 963-7371,gradschool@tnstate.edu,http://www.tnstate.edu/graduate/,http://www.tnstate.edu/engineering/,0.5:1,22,0.5:1,44.2,55.8,,,,
SUNY College of Environmental Science and Forestry,152-200," Syracuse, NY","The engineering school at SUNY College of Environmental Science and Forestry has a rolling application deadline. The application fee is $60 for U.S. residents and $60 for international students. Its tuition is full-time: $11,310 per year (in-state); full-time: $23,100 per year (out-of-state); part-time: $471 per credit (in-state); and part-time: $963 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.6:1. The engineering school at SUNY College of Environmental Science and Forestry has 19 full-time faculty on staff.",,N/A,N/A,$ 60.00,$ 60.00,(315) 470-6599,esfgrad@esf.edu,http://www.esf.edu/graduate/admission.htm,http://www.esf.edu/,1.6:1,19,1.6:1,81.3,18.8,,,,
Wright State University,152-200," Dayton, OH","The College of Engineering and Computer Science at Wright State University has a rolling application deadline. The application fee is $40 for U.S. residents and $40 for international students. Its tuition is full-time: $14,298 per year (in-state); full-time: $24,286 per year (out-of-state); part-time: $660 per credit (in-state); and part-time: $1,125 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.1:1. The College of Engineering and Computer Science at Wright State University has 47 full-time faculty on staff.",,08/22,08/22,$ 40.00,$ 40.00,(937) 775-3734,wsugrad@wright.edu,http://www.wright.edu/graduate-school/admissions,http://www.wright.edu/graduate-school,1.1:1,47,1.1:1,34.6,65.4,,,,
Western Michigan University,152-200," Kalamazoo, MI","The College of Engineering and Applied Sciences at Western Michigan University has a rolling application deadline. The application fee is $50 for U.S. residents and $100 for international students. Its tuition is full-time: $16,884 per year (in-state); full-time: $25,325 per year (out-of-state); part-time: $703 per credit (in-state); and part-time: $1,055 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 0.8:1. The College of Engineering and Applied Sciences at Western Michigan University has 76 full-time faculty on staff.",,N/A,N/A,$ 50.00,$ 100.00,(269) 387-2000,ask-wmu@wmich.edu,https://wmich.edu/apply/graduate,https://wmich.edu/engineer,0.8:1,76,0.8:1,19.8,80.2,,,,
Wayne State University,152-200," Detroit, MI","The College of Engineering at Wayne State University has a rolling application deadline. The application fee is $50 for U.S. residents and $50 for international students. Its tuition is full-time: $19,638 per year (in-state); full-time: $39,367 per year (out-of-state); part-time: $818 per credit (in-state); and part-time: $1,640 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.1:1. The College of Engineering at Wayne State University has 111 full-time faculty on staff.",,06/01,06/01,$ 50.00,$ 50.00,(313) 577-4723,gradadmissions@wayne.edu,http://wayne.edu/admissions/graduate/,http://engineering.wayne.edu,2.1:1,111,2.1:1,33.9,66.1,,,,
University of Wisconsin--Milwaukee,152-200," Milwaukee, WI","The College of Engineering and Applied Science at University of Wisconsin--Milwaukee has a rolling application deadline. The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $12,219 per year (in-state); full-time: $25,650 per year (out-of-state); part-time: $1,001 per credit (in-state); and part-time: $1,841 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.4:1. The College of Engineering and Applied Science at University of Wisconsin--Milwaukee has 59 full-time faculty on staff.",,04/01,04/01,$ 75.00,$ 75.00,(414) 229-6169,crary@uwm.edu,http://www.uwm.edu/Dept/Grad_Sch/Prospective/,http://www.uwm.edu/CEAS,2.4:1,59,2.4:1,30.6,69.4,,,,
University of Toledo,152-200," Toledo, OH","The College of Engineering at University of Toledo has a rolling application deadline. The application fee is $45 for U.S. residents and $75 for international students. Its tuition is full-time: $615 per credit (in-state); full-time: $1,079 per credit (out-of-state); part-time: $615 per credit (in-state); and part-time: $1,079 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.2:1. The College of Engineering at University of Toledo has 53 full-time faculty on staff.",,06/01,06/01,$ 45.00,$ 75.00,(419) 530-4723,grdsch@utnet.utoledo.edu,https://www.utoledo.edu/graduate/apply/,https://www.utoledo.edu/graduate/prospectivestudents/,1.2:1,53,1.2:1,26.1,73.9,,,,
University of Texas--San Antonio (Klesse),152-200," San Antonio, TX","The application fee is $50 for U.S. residents and $90 for international students. Its tuition is full-time: $7,576 per year (in-state); full-time: $25,523 per year (out-of-state); part-time: $4,830 per year (in-state); and part-time: $16,796 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.4:1. The Klesse College of Engineering and Integrated Design at University of Texas--San Antonio (Klesse) has 144 full-time faculty on staff.",,04/01,02/01,$ 50.00,$ 90.00,(210) 458-4331,GraduateAdmissions@utsa.edu,http://graduateschool.utsa.edu/admissions/graduate-application/,http://graduateschool.utsa.edu/,1.4:1,144,1.4:1,37.6,62.4,,,,
University of Tennessee--Chattanooga,152-200," Chattanooga, TN",The College of Engineering and Computer Science at University of Tennessee--Chattanooga has a rolling application deadline. The application fee is $35 for U.S. residents and $40 for international students. Its tuition is full-time: $478 per credit (in-state); full-time: $926 per credit (out-of-state); part-time: $478 per credit (in-state); and part-time: $926 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 0.3:1. The College of Engineering and Computer Science at University of Tennessee--Chattanooga has 54 full-time faculty on staff.,,N/A,02/01,$ 35.00,$ 40.00,(423) 425-4666,Ethan-Carver@utc.edu,http://www.utc.edu/apply/,https://www.utc.edu/college-engineering-computer-science/,0.3:1,54,0.3:1,16.7,83.3,,,,
University of Southern Mississippi,152-200," Hattiesburg, MS",The School of Polymer Science and Engineering at University of Southern Mississippi has a rolling application deadline. The application fee is $60 for U.S. residents and $60 for international students. Its tuition is part-time: $506 per credit (in-state) and part-time: $618 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 6.7:1. The School of Polymer Science and Engineering at University of Southern Mississippi has 11 full-time faculty on staff.,,N/A,N/A,$ 60.00,$ 60.00,(601) 266-4369,graduateschool@usm.edu,http://www.usm.edu/graduate-school,http://www.usm.edu/graduate-school,N/A,11,6.7:1,N/A,N/A,,,,
University of Rhode Island,152-200," Kingston, RI","The application fee is $65 for U.S. residents and $65 for international students. Its tuition is full-time: $14,454 per year (in-state); full-time: $27,906 per year (out-of-state); part-time: $803 per credit (in-state); and part-time: $1,550 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.4:1. The College of Engineering at University of Rhode Island has 65 full-time faculty on staff.",,07/15,07/15,$ 65.00,$ 65.00,(401) 874-2263,urigrad@etal.uri.edu,https://web.uri.edu/graduate-school/admission/,https://web.uri.edu/graduate-school/,1.4:1,65,1.4:1,40.2,59.8,,,,
University of North Carolina--Charlotte (W.S. Lee),152-200," Charlotte, NC","The William States Lee College of Engineering at University of North Carolina--Charlotte (W.S. Lee) has a rolling application deadline. The application fee is $75 for U.S. residents and $75 for international students. Its tuition is full-time: $6,137 per year (in-state); full-time: $19,571 per year (out-of-state); part-time: $3,409 per year (in-state); and part-time: $8,898 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.4:1. The William States Lee College of Engineering at University of North Carolina--Charlotte (W.S. Lee) has 100 full-time faculty on staff.",,08/01,08/01,$ 75.00,$ 75.00,(704) 687-5503,gradcounselor@uncc.edu,https://gradadmissions.charlotte.edu/apply,http://graduateschool.charlotte.edu,1.4:1,100,1.4:1,33.3,66.7,,,,
University of New Orleans,152-200," New Orleans, LA","The College of Engineering at University of New Orleans has a rolling application deadline. The application fee is $45 for U.S. residents and $45 for international students. Its tuition is full-time: $7,302 per year (in-state) and full-time: $12,852 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 0.4:1. The College of Engineering at University of New Orleans has 27 full-time faculty on staff.",,07/01,07/01,$ 45.00,$ 45.00,(504) 280-4428,pec@uno.edu,https://www.uno.edu/admissions,http://www.uno.edu,N/A,27,0.4:1,36.7,63.3,N/A,N/A,,
University of Memphis (Herff),152-200," Memphis, TN",The Herff College of Engineering at University of Memphis (Herff) has a rolling application deadline. The application fee is $35 for U.S. residents and $60 for international students. Its tuition is full-time: $606 per credit (in-state); full-time: $808 per credit (out-of-state); part-time: $606 per credit (in-state); and part-time: $808 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.5:1. The Herff College of Engineering at University of Memphis (Herff) has 72 full-time faculty on staff.,,07/01,07/01,$ 35.00,$ 60.00,(901) 678-3685,graduateadmissions@memphis.edu,https://www.memphis.edu/graduateadmissions/future/apply_grad.php,https://www.memphis.edu/herff/,1.5:1,72,1.5:1,38.8,61.2,,,,
University of Massachusetts--Dartmouth,152-200," North Dartmouth, MA","The application fee is $60 for U.S. residents and $60 for international students. Its tuition is full-time: $16,390 per year (in-state); full-time: $29,578 per year (out-of-state); part-time: $683 per credit (in-state); and part-time: $1,232 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 0.7:1. The College of Engineering at University of Massachusetts--Dartmouth has 54 full-time faculty on staff.",,02/15,02/01,$ 60.00,$ 60.00,(508) 999-8604,graduate@umassd.edu,http://www.umassd.edu/graduate/apply,http://www.umassd.edu/engineering/graduate,0.7:1,54,0.7:1,23.1,76.9,,,,
University of Mississippi,152-200," University, MS","The School of Engineering at University of Mississippi has a rolling application deadline. The application fee is $60 for U.S. residents and $60 for international students. Its tuition is full-time: $8,938 per year (in-state); full-time: $25,782 per year (out-of-state); part-time: $497 per credit (in-state); and part-time: $1,432 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.1:1. The School of Engineering at University of Mississippi has 55 full-time faculty on staff.",,04/01,04/01,$ 60.00,$ 60.00,(662) 915-7911,gschool@olemiss.edu,http://www.gradschool.olemiss.edu,http://www.engineering.olemiss.edu/,1.1:1,55,1.1:1,26.9,73.1,,,,
University of Nevada--Las Vegas (Hughes),152-200," Las Vegas, NV","The Howard R. Hughes College of Engineering at University of Nevada--Las Vegas (Hughes) has a rolling application deadline. The application fee is $60 for U.S. residents and $95 for international students. Its tuition is full-time: $5,499 per year (in-state); full-time: $24,241 per year (out-of-state); part-time: $306 per credit (in-state); and part-time: $642 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.6:1. The Howard R. Hughes College of Engineering at University of Nevada--Las Vegas (Hughes) has 71 full-time faculty on staff.",,08/01,08/01,$ 60.00,$ 95.00,(702) 895-3320,gradcollege@unlv.edu,https://www.unlv.edu/graduatecollege/futurestudents,https://www.unlv.edu/engineering,1.6:1,71,1.6:1,20.2,79.8,,,,
South Dakota School of Mines and Technology,152-200," Rapid City, SD",The College of Engineering at South Dakota School of Mines and Technology has a rolling application deadline. The application fee is $35 for U.S. residents and $35 for international students. Its tuition is full-time: $339 per credit (in-state); full-time: $680 per credit (out-of-state); part-time: $339 per credit (in-state); and part-time: $680 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 0.7:1. The College of Engineering at South Dakota School of Mines and Technology has 93 full-time faculty on staff.,,02/15,02/15,$ 35.00,$ 35.00,(605) 355-3468,graduate.admissions@sdsmt.edu,https://www.sdsmt.edu/Academics/Graduate-Education/Graduate-Application-Instructions/,https://www.sdsmt.edu/GraduateEducation/,0.7:1,93,0.7:1,21.9,78.1,,,,
University of Detroit Mercy,152-200," Detroit, MI",The College of Engineering and Science at University of Detroit Mercy has a rolling application deadline. The application fee is $0 for U.S. residents and $0 for international students. Its tuition is full-time: $840 per credit and part-time: $840 per credit. The 2021 Ph.D. student-faculty ratio is 0.9:1. The College of Engineering and Science at University of Detroit Mercy has 23 full-time faculty on staff.,,N/A,N/A,$ 0.00,$ 0.00,(313) 993-1245,admissions@udmercy.edu,https://www.udmercy.edu/admission/apply.php,https://www.udmercy.edu,$840 per credit,23,0.9:1,14.9,85.1,$840 per credit,$840 per credit,$840 per credit,$840 per credit
Southern Illinois University--Carbondale,152-200," Carbondale, IL","The College of Engineering at Southern Illinois University--Carbondale has a rolling application deadline. The application fee is $65 for U.S. residents and $65 for international students. Its tuition is full-time: $470 per credit (in-state); full-time: $1,174 per credit (out-of-state); part-time: $470 per credit (in-state); and part-time: $1,174 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1:1. The College of Engineering at Southern Illinois University--Carbondale has 53 full-time faculty on staff.",,N/A,N/A,$ 65.00,$ 65.00,(618) 536-7791,gradschl@siu.edu,https://gradschool.siu.edu/apply/,http://gradschool.siu.edu/,1:1,53,1:1,27.6,72.4,,,,
Prairie View A&M University,152-200," Prairie View, TX","The College of Engineering at Prairie View A&M University has a rolling application deadline. The application fee is $40 for U.S. residents and $50 for international students. Its tuition is full-time: $5,191 per year (in-state); full-time: $14,353 per year (out-of-state); part-time: $5,191 per year (in-state); and part-time: $14,353 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 0.6:1. The College of Engineering at Prairie View A&M University has 50 full-time faculty on staff.",,N/A,N/A,$ 40.00,$ 50.00,(936) 261-1069,hndurham@pvamu.edu,https://www.applytexas.org/adappc/gen/c_start.WBX,http://www.pvamu.edu/engineering,0.6:1,50,0.6:1,39,61,,,,
Rowan University,152-200," Glassboro, NJ",The engineering school at Rowan University has a rolling application deadline. Its tuition is full-time: $732 per credit (in-state); full-time: $732 per credit (out-of-state); part-time: $732 per credit (in-state); and part-time: $732 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1:1. The engineering school at Rowan University has 73 full-time faculty on staff.,,07/01,07/01,$ 65.00,N/A,(856) 256-4747,global@rowan.edu,https://rowanu.com/apply,https://engineering.rowan.edu/index.html,1:1,73,1:1,19.5,80.5,,,,
Saint Louis University (Parks),152-200," St. Louis, MO","The Parks College of Engineering, Aviation and Technology at Saint Louis University (Parks) has a rolling application deadline. The application fee is $55 for U.S. residents and $65 for international students. Its tuition is full-time: $1,220 per credit and part-time: $1,220 per credit. The 2021 Ph.D. student-faculty ratio is 0.8:1. The Parks College of Engineering, Aviation and Technology at Saint Louis University (Parks) has 40 full-time faculty on staff.",,N/A,N/A,$ 55.00,$ 65.00,(314) 977-8306,parksgraduateprograms@slu.edu,https://www.slu.edu/apply.php,http://www.slu.edu/parks/graduate/index.php,"$1,220 per credit",40,0.8:1,27.2,72.8,"$1,220 per credit","$1,220 per credit","$1,220 per credit","$1,220 per credit"
University of Louisiana--Lafayette,152-200," Lafayette, LA","The College of Engineering at University of Louisiana--Lafayette has a rolling application deadline. The application fee is $25 for U.S. residents and $30 for international students. Its tuition is full-time: $5,511 per year (in-state); full-time: $19,239 per year (out-of-state); part-time: $563 per year (in-state); and part-time: $1,325 per year (out-of-state). The 2021 Ph.D. student-faculty ratio is 2.2:1. The College of Engineering at University of Louisiana--Lafayette has 53 full-time faculty on staff.",,N/A,N/A,$ 25.00,$ 30.00,(337) 482-6467,gradschool@louisiana.edu,http://gradschool.louisiana.edu/forms/index.shtml,http://engineering.louisiana.edu/,2.2:1,53,2.2:1,27.8,72.2,,,,
University of Hawaii--Manoa,152-200," Honolulu, HI","The College of Engineering at University of Hawaii--Manoa has a rolling application deadline. The application fee is $100 for U.S. residents and $100 for international students. Its tuition is full-time: $10,400 per year (in-state); full-time: $22,432 per year (out-of-state); part-time: $650 per credit (in-state); and part-time: $1,402 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 1.3:1. The College of Engineering at University of Hawaii--Manoa has 51 full-time faculty on staff.",,N/A,N/A,$ 100.00,$ 100.00,(808) 956-8544,graduate.admissions@hawaii.edu,http://www.manoa.hawaii.edu/graduate/content/how-apply,https://www.eng.hawaii.edu,N/A,51,1.3:1,25.9,74.1,N/A,,,
Morgan State University (Mitchell),152-200," Baltimore, MD",The Clarence M. Mitchell School of Engineering at Morgan State University (Mitchell) has a rolling application deadline. The application fee is $50 for U.S. residents and $70 for international students. Its tuition is full-time: $455 per credit (in-state); full-time: $894 per credit (out-of-state); part-time: $455 per credit (in-state); and part-time: $894 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 4.9:1. The Clarence M. Mitchell School of Engineering at Morgan State University (Mitchell) has 20 full-time faculty on staff.,,05/01,05/01,$ 50.00,$ 70.00,(443) 885-3185,gradapply@morgan.edu,http://morganstate.embark.com,http://www.morgan.edu/Prospective_Grad_Students.html,4.9:1,20,4.9:1,21.7,78.3,,,,
Old Dominion University  (Batten),152-200," Norfolk, VA","The Frank Batten College of Engineering and Technology at Old Dominion University (Batten) has a rolling application deadline. The application fee is $50 for U.S. residents and $50 for international students. Its tuition is full-time: $551 per credit (in-state); full-time: $1,387 per credit (out-of-state); part-time: $551 per credit (in-state); and part-time: $1,387 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 0.9:1. The Frank Batten College of Engineering and Technology at Old Dominion University (Batten) has 108 full-time faculty on staff.",,N/A,N/A,$ 50.00,$ 50.00,(757) 683-3685,gradadmit@odu.edu,http://blue.odu.edu/admission/apply/,http://www.odu.edu/engineering,0.9:1,108,0.9:1,32.4,67.6,,,,
Ohio University (Russ),152-200," Athens, OH","The Russ College of Engineering and Technology at Ohio University (Russ) has a rolling application deadline. The application fee is $58 for U.S. residents and $58 for international students. Its tuition is full-time: $8,188 per year (in-state); full-time: $16,180 per year (out-of-state); part-time: $505 per credit (in-state); and part-time: $1,001 per credit (out-of-state). The 2021 Ph.D. student-faculty ratio is 0.9:1. The Russ College of Engineering and Technology at Ohio University (Russ) has 63 full-time faculty on staff.",,08/01,08/01,$ 58.00,$ 58.00,(740) 593-2800,graduate@ohio.edu,https://www.ohio.edu/graduate/apply,http://www.ohio.edu/engineering,0.9:1,63,0.9:1,26.7,73.3,,,,
